"exp_name";"mse_hist";"mse_sketch"
fixed acidity * chlorides;0.058955;1.379967
fixed acidity * chlorides;0.000508;583.427002
fixed acidity * chlorides;0.000025;13.031731
fixed acidity * chlorides;0.000032;89.896683
fixed acidity * chlorides;0.000788;56.507416
fixed acidity * chlorides;0.001754;143.405380
fixed acidity * chlorides;0.006393;113.186111
fixed acidity * chlorides;0.002576;316.343750
fixed acidity * chlorides;0.003454;20.490353
fixed acidity * chlorides;0.002626;88.045547
fixed acidity * chlorides;0.000040;80.684090
fixed acidity * chlorides;0.080890;13.377337
fixed acidity * chlorides;0.000000;384.226196
fixed acidity * chlorides;0.002783;276.503448
fixed acidity * chlorides;0.000002;0.072196
fixed acidity * chlorides;0.000022;261.971985
fixed acidity * free sulfur dioxide;0.008085;333.205872
fixed acidity * free sulfur dioxide;0.001214;91.097359
fixed acidity * free sulfur dioxide;0.000478;0.045773
fixed acidity * free sulfur dioxide;0.000000;1194.804810
fixed acidity * free sulfur dioxide;0.000000;2854.540283
fixed acidity * free sulfur dioxide;0.009173;14.588704
fixed acidity * free sulfur dioxide;0.000025;630.408203
fixed acidity * free sulfur dioxide;0.000016;47.372471
fixed acidity * free sulfur dioxide;0.000027;250.550949
fixed acidity * free sulfur dioxide;0.000025;218.835190
fixed acidity * free sulfur dioxide;0.000020;227.700394
fixed acidity * free sulfur dioxide;0.000060;180.824692
fixed acidity * free sulfur dioxide;0.000000;1647.103394
fixed acidity * free sulfur dioxide;0.001421;126.817528
fixed acidity * free sulfur dioxide;0.000020;12.220603
fixed acidity * free sulfur dioxide;0.001792;33.241257
fixed acidity * free sulfur dioxide;0.000000;1047.037354
fixed acidity * free sulfur dioxide;0.000000;473.804871
fixed acidity * free sulfur dioxide;0.000001;232.435150
fixed acidity * free sulfur dioxide;0.002308;133.187408
fixed acidity * free sulfur dioxide;0.004243;274.704926
fixed acidity * free sulfur dioxide;0.000000;1472.525513
fixed acidity * free sulfur dioxide;0.000007;410.811462
fixed acidity * free sulfur dioxide;0.000000;621.877014
fixed acidity * free sulfur dioxide;0.000000;1079.184570
fixed acidity * free sulfur dioxide;0.000000;698.849426
fixed acidity * free sulfur dioxide;0.000013;375.022064
fixed acidity * free sulfur dioxide;0.000000;2044.715698
fixed acidity * free sulfur dioxide;0.000286;1.382171
fixed acidity * free sulfur dioxide;0.006804;51.096703
fixed acidity * free sulfur dioxide;0.000000;2409.462646
fixed acidity * free sulfur dioxide;0.000016;666.297363
fixed acidity * free sulfur dioxide;0.000259;76.255356
fixed acidity * free sulfur dioxide;0.001228;3.241811
fixed acidity * free sulfur dioxide;0.000000;499.942169
fixed acidity * free sulfur dioxide;0.002102;0.234037
fixed acidity * free sulfur dioxide;0.003661;49.701523
fixed acidity * free sulfur dioxide;0.000000;1965.216675
fixed acidity * free sulfur dioxide;0.000007;4.636169
fixed acidity * free sulfur dioxide;0.004514;135.777496
fixed acidity * free sulfur dioxide;0.002171;0.126152
fixed acidity * free sulfur dioxide;0.000285;151.519867
fixed acidity * free sulfur dioxide;0.004231;82.800758
fixed acidity * free sulfur dioxide;0.003973;27.906174
fixed acidity * free sulfur dioxide;0.000015;736.049377
fixed acidity * free sulfur dioxide;0.000000;577.634277
fixed acidity * free sulfur dioxide;0.000083;79.744530
fixed acidity * free sulfur dioxide;0.001482;0.386755
fixed acidity * free sulfur dioxide;0.000024;285.431244
fixed acidity * free sulfur dioxide;0.001947;7.394240
fixed acidity * free sulfur dioxide;0.000000;0.195492
fixed acidity * free sulfur dioxide;0.000211;18.951895
fixed acidity * free sulfur dioxide;0.003517;5.561327
fixed acidity * free sulfur dioxide;0.000025;2.195971
fixed acidity * free sulfur dioxide;0.000005;0.230393
fixed acidity * free sulfur dioxide;0.003724;89.336761
fixed acidity * free sulfur dioxide;0.004423;204.087158
fixed acidity * free sulfur dioxide;0.000000;1214.312866
fixed acidity * free sulfur dioxide;0.000848;0.940457
fixed acidity * free sulfur dioxide;0.000030;21.985073
fixed acidity * free sulfur dioxide;0.000000;1616.027466
fixed acidity * free sulfur dioxide;0.003629;65.494370
fixed acidity * free sulfur dioxide;0.000016;5.702744
fixed acidity * free sulfur dioxide;0.001423;266.428558
fixed acidity * free sulfur dioxide;0.000029;12.248071
fixed acidity * free sulfur dioxide;0.001433;29.862047
fixed acidity * free sulfur dioxide;0.000671;10.040166
fixed acidity * free sulfur dioxide;0.000352;410.021393
fixed acidity * free sulfur dioxide;0.000218;55.786243
fixed acidity * free sulfur dioxide;0.000416;4.224540
fixed acidity * free sulfur dioxide;0.000000;429.843689
fixed acidity * free sulfur dioxide;0.005178;0.781314
fixed acidity * free sulfur dioxide;0.001360;95.270821
fixed acidity * free sulfur dioxide;0.000001;312.036682
fixed acidity * free sulfur dioxide;0.000000;1050.434082
fixed acidity * free sulfur dioxide;0.000292;71.578201
fixed acidity * free sulfur dioxide;0.000006;362.907715
fixed acidity * free sulfur dioxide;0.000000;1086.272583
fixed acidity * free sulfur dioxide;0.001192;15.920077
fixed acidity * free sulfur dioxide;0.003867;15.701464
fixed acidity * free sulfur dioxide;0.011088;16.166409
fixed acidity * free sulfur dioxide;0.001150;118.606873
fixed acidity * free sulfur dioxide;0.003573;79.466431
fixed acidity * free sulfur dioxide;0.001314;39.383526
fixed acidity * free sulfur dioxide;0.002459;41.448589
fixed acidity * free sulfur dioxide;0.002729;0.288558
fixed acidity * free sulfur dioxide;0.000000;513.425354
fixed acidity * free sulfur dioxide;0.000000;0.007017
fixed acidity * free sulfur dioxide;0.000023;12.616413
fixed acidity * free sulfur dioxide;0.000115;586.638000
fixed acidity * free sulfur dioxide;0.000358;335.024780
fixed acidity * free sulfur dioxide;0.004824;390.472534
fixed acidity * free sulfur dioxide;0.010242;21.325392
fixed acidity * free sulfur dioxide;0.000064;262.788300
fixed acidity * free sulfur dioxide;0.000040;546.466858
fixed acidity * free sulfur dioxide;0.000000;579.377747
fixed acidity * free sulfur dioxide;0.000005;134.675217
fixed acidity * free sulfur dioxide;0.000000;2736.769287
fixed acidity * free sulfur dioxide;0.000003;0.082885
fixed acidity * free sulfur dioxide;0.000948;54.474510
fixed acidity * total sulfur dioxide;0.000017;3.130642
fixed acidity * total sulfur dioxide;0.003629;39.686890
fixed acidity * total sulfur dioxide;0.000044;137.418167
fixed acidity * total sulfur dioxide;0.006363;169.363571
fixed acidity * total sulfur dioxide;0.000008;4.610364
fixed acidity * total sulfur dioxide;0.002995;117.905312
fixed acidity * total sulfur dioxide;0.000025;660.946106
fixed acidity * total sulfur dioxide;0.004271;360.571991
fixed acidity * total sulfur dioxide;0.000000;2584.309570
fixed acidity * total sulfur dioxide;0.001405;184.248535
fixed acidity * total sulfur dioxide;0.000000;72.594360
fixed acidity * total sulfur dioxide;0.000502;325.872009
fixed acidity * total sulfur dioxide;0.000017;690.555908
fixed acidity * total sulfur dioxide;0.000348;77.881477
fixed acidity * total sulfur dioxide;0.000013;1402.426025
fixed acidity * total sulfur dioxide;0.001073;556.196472
fixed acidity * total sulfur dioxide;0.002192;80.315681
fixed acidity * total sulfur dioxide;0.001443;47.959057
fixed acidity * total sulfur dioxide;0.000015;3.592356
fixed acidity * total sulfur dioxide;0.000002;883.091614
fixed acidity * total sulfur dioxide;0.000001;45.969353
fixed acidity * total sulfur dioxide;0.000010;1.804106
fixed acidity * total sulfur dioxide;0.000080;448.979492
fixed acidity * total sulfur dioxide;0.008361;252.179123
fixed acidity * total sulfur dioxide;0.002225;105.326576
fixed acidity * total sulfur dioxide;0.003459;243.749176
fixed acidity * total sulfur dioxide;0.000289;276.530853
fixed acidity * total sulfur dioxide;0.000009;1.757598
fixed acidity * total sulfur dioxide;0.000005;3.731815
fixed acidity * total sulfur dioxide;0.000017;11.176233
fixed acidity * total sulfur dioxide;0.000000;2426.799316
fixed acidity * total sulfur dioxide;0.001141;281.197845
fixed acidity * total sulfur dioxide;0.000002;0.610743
fixed acidity * total sulfur dioxide;0.000000;916.263916
fixed acidity * total sulfur dioxide;0.001278;36.945465
fixed acidity * total sulfur dioxide;0.000010;3.145651
fixed acidity * total sulfur dioxide;0.000681;132.552689
fixed acidity * total sulfur dioxide;0.000181;171.576752
fixed acidity * total sulfur dioxide;0.000000;1399.355957
fixed acidity * total sulfur dioxide;0.004890;149.442657
fixed acidity * total sulfur dioxide;0.000110;319.284515
fixed acidity * total sulfur dioxide;0.000434;464.399261
fixed acidity * total sulfur dioxide;0.000000;1400.260864
fixed acidity * total sulfur dioxide;0.000000;2821.089600
fixed acidity * total sulfur dioxide;0.000001;1.075088
fixed acidity * total sulfur dioxide;0.000000;2995.509033
fixed acidity * total sulfur dioxide;0.001247;455.905914
fixed acidity * total sulfur dioxide;0.000894;624.678528
fixed acidity * total sulfur dioxide;0.001086;33.689907
fixed acidity * total sulfur dioxide;0.000042;773.092773
fixed acidity * total sulfur dioxide;0.000016;895.030396
fixed acidity * total sulfur dioxide;0.000002;49.008045
fixed acidity * total sulfur dioxide;0.001086;16.890017
fixed acidity * total sulfur dioxide;0.000011;792.185303
fixed acidity * total sulfur dioxide;0.000178;130.975250
fixed acidity * total sulfur dioxide;0.000000;1592.422363
fixed acidity * total sulfur dioxide;0.001160;58.469177
fixed acidity * total sulfur dioxide;0.000001;0.148051
fixed acidity * total sulfur dioxide;0.000287;7.208884
fixed acidity * total sulfur dioxide;0.000000;204.853287
fixed acidity * total sulfur dioxide;0.000016;33.590710
fixed acidity * total sulfur dioxide;0.001457;77.715111
fixed acidity * total sulfur dioxide;0.003693;139.545792
fixed acidity * total sulfur dioxide;0.000000;1889.744141
fixed acidity * total sulfur dioxide;0.000693;215.799362
fixed acidity * total sulfur dioxide;0.000365;212.380112
fixed acidity * total sulfur dioxide;0.000038;26.177683
fixed acidity * total sulfur dioxide;0.000917;63.143238
fixed acidity * total sulfur dioxide;0.000006;4.795763
fixed acidity * total sulfur dioxide;0.000232;7.479217
fixed acidity * total sulfur dioxide;0.000000;1671.021362
fixed acidity * total sulfur dioxide;0.000010;7.186442
fixed acidity * total sulfur dioxide;0.001503;73.312897
fixed acidity * total sulfur dioxide;0.000000;1697.482788
